FECHA,CO,NO,NO2,NOX,O3,PM10,SO2
01/01/2021,0.28,2,16,18,25,30,1
01/01/2021,0.47,4,22,26,19,41,2
01/01/2021,0.72,6,29,34,9,68,1
01/01/2021,0.68,7,27,35,9,62,1
01/01/2021,0.81,10,31,41,5,72,1
01/01/2021,0.9,10,30,41,4,74,1
01/01/2021,0.86,9,29,38,4,72,0
01/01/2021,0.85,17,26,43,4,72,1
01/01/2021,0.8,19,24,43,12,84,2
01/01/2021,0.63,10,24,34,32,58,1
01/01/2021,0.43,6,20,26,48,26,1
01/01/2021,0.39,3,19,21,69,15,2
01/01/2021,0.33,2,15,17,73,10,1
01/01/2021,0.2,2,9,11,63,-99,1
01/01/2021,0.1,1,4,5,49,3,0
01/01/2021,0.12,1,4,4,49,29,0
01/01/2021,0.11,1,5,5,48,20,0
01/01/2021,0.12,1,6,6,44,17,0
01/01/2021,0.27,4,15,19,34,34,0
01/01/2021,0.27,2,16,18,31,57,0
01/01/2021,0.24,2,13,15,33,43,1
01/01/2021,0.25,1,15,17,29,32,1
01/01/2021,0.55,4,34,38,10,29,1
01/01/2021,0.81,5,36,41,7,34,1
02/01/2021,-99,-99,-99,-99,-99,38,-99
02/01/2021,-99,-99,-99,-99,-99,31,-99
02/01/2021,-99,-99,-99,-99,-99,32,-99
02/01/2021,0.47,2,28,30,8,27,1
02/01/2021,0.41,1,24,25,11,22,1
02/01/2021,0.41,7,26,33,7,11,1
02/01/2021,0.48,34,30,64,5,12,1
02/01/2021,0.76,57,29,86,3,34,2
02/01/2021,0.8,57,32,89,6,51,2
02/01/2021,0.99,58,41,98,11,36,2
02/01/2021,0.54,23,36,58,27,28,1
02/01/2021,0.6,26,48,74,30,34,3
02/01/2021,0.41,16,37,52,39,13,4
02/01/2021,0.25,6,20,26,54,-99,1
02/01/2021,0.33,5,23,28,68,29,1
02/01/2021,0.35,3,22,25,78,28,1
02/01/2021,0.4,3,26,29,81,37,1
02/01/2021,0.64,4,41,45,59,67,1
02/01/2021,0.72,6,49,54,31,72,1
02/01/2021,0.76,14,42,56,17,54,1
02/01/2021,1.04,15,56,71,7,65,1
02/01/2021,0.95,19,51,70,8,62,3
02/01/2021,0.91,16,45,61,8,53,7
02/01/2021,0.6,4,33,37,18,42,7
03/01/2021,0.43,2,28,29,19,41,5
03/01/2021,0.45,2,28,29,17,40,4
03/01/2021,0.29,0,19,19,21,34,3
03/01/2021,0.3,0,21,22,18,35,2
03/01/2021,0.26,1,17,18,17,24,1
03/01/2021,0.25,2,16,18,17,14,1
03/01/2021,0.48,19,28,46,5,17,1
03/01/2021,0.61,22,29,50,4,26,1
03/01/2021,0.78,38,28,66,9,37,2
03/01/2021,0.53,16,30,46,26,41,3
03/01/2021,0.69,15,44,59,50,42,4
03/01/2021,0.64,8,44,53,68,25,2
03/01/2021,0.55,5,35,40,77,5,1
03/01/2021,0.38,3,22,25,77,13,1
03/01/2021,0.27,2,16,18,77,20,1
03/01/2021,0,0,3,3,46,14,1
03/01/2021,0.04,0,4,4,52,22,1
03/01/2021,0.07,0,5,5,36,8,0
03/01/2021,0.28,10,18,28,23,31,0
03/01/2021,0.7,35,29,64,12,36,1
03/01/2021,0.57,13,30,43,11,48,1
03/01/2021,0.79,29,37,66,4,28,2
03/01/2021,0.97,30,38,69,2,40,2
03/01/2021,0.68,14,34,47,2,45,1
04/01/2021,0.44,4,30,34,6,34,1
04/01/2021,0.31,2,20,22,16,21,1
04/01/2021,0.23,0,15,15,18,17,1
04/01/2021,0.14,0,11,10,23,19,1
04/01/2021,0.16,1,13,14,21,15,1
04/01/2021,0.32,10,26,36,9,22,1
04/01/2021,0.71,48,34,82,4,37,1
04/01/2021,0.96,68,36,104,2,46,2
04/01/2021,1.13,72,40,112,5,65,4
04/01/2021,0.9,46,45,91,13,61,4
04/01/2021,0.76,29,47,76,25,40,5
04/01/2021,0.71,27,52,80,37,54,7
04/01/2021,0.41,8,31,38,53,36,4
04/01/2021,0.39,6,27,32,63,34,3
04/01/2021,0.3,3,21,24,75,34,3
04/01/2021,0.33,2,21,24,80,37,3
04/01/2021,0.48,2,27,29,80,43,3
04/01/2021,0.52,5,33,38,70,42,3
04/01/2021,0.5,2,40,41,43,55,15
04/01/2021,0.42,2,29,31,46,62,31
04/01/2021,0.43,2,35,36,27,73,14
04/01/2021,0.42,3,34,37,22,73,6
04/01/2021,0.35,2,24,26,27,55,5
04/01/2021,0.37,4,26,30,21,45,4
05/01/2021,0.23,0,19,19,27,25,4
05/01/2021,0.11,1,12,12,36,8,3
05/01/2021,0.13,0,14,14,31,22,2
05/01/2021,0.11,0,12,12,32,14,2
05/01/2021,0.12,0,13,13,28,17,1
05/01/2021,0.33,11,32,42,7,21,1
05/01/2021,0.59,35,38,73,4,35,1
05/01/2021,1.42,124,42,166,3,61,3
05/01/2021,1.03,70,41,111,5,72,3
05/01/2021,1.33,78,55,134,8,77,6
05/01/2021,1.31,47,69,116,21,88,12
05/01/2021,0.92,22,59,81,37,86,16
05/01/2021,0.61,9,38,47,59,42,10
05/01/2021,0.43,4,27,32,75,40,7
05/01/2021,0.44,2,24,27,87,59,6
05/01/2021,0.5,2,27,30,90,66,5
05/01/2021,0.45,1,26,27,96,56,4
05/01/2021,1.05,16,65,81,54,65,4
05/01/2021,0.44,7,34,41,31,52,2
05/01/2021,0.3,6,21,27,29,32,2
05/01/2021,0.71,16,39,55,16,39,10
05/01/2021,0.74,10,53,64,10,50,43
05/01/2021,0.99,38,53,91,5,61,28
05/01/2021,1.03,35,49,85,3,52,17
06/01/2021,1.16,35,45,79,2,63,9
06/01/2021,0.78,14,38,52,3,33,3
06/01/2021,0.56,2,36,38,4,40,3
06/01/2021,0.45,4,29,33,8,35,2
06/01/2021,0.34,5,26,31,7,27,1
06/01/2021,0.43,19,27,46,3,22,1
06/01/2021,0.78,53,28,81,2,29,2
06/01/2021,1.44,123,30,153,2,51,3
06/01/2021,1.13,75,35,110,4,62,6
06/01/2021,1.05,58,48,106,11,45,5
06/01/2021,1.11,45,71,117,20,86,8
06/01/2021,0.85,23,56,78,37,51,4
06/01/2021,0.54,8,38,46,54,43,3
06/01/2021,0.48,6,34,39,64,36,3
06/01/2021,0.31,3,20,23,63,24,2
06/01/2021,0.28,5,17,22,52,3,1
06/01/2021,0.17,2,11,13,51,22,1
06/01/2021,0.16,1,11,12,44,33,1
06/01/2021,0.46,13,27,40,22,45,1
06/01/2021,1.05,60,33,93,9,42,3
06/01/2021,1.46,73,39,112,2,56,5
06/01/2021,0.85,37,34,71,4,36,3
06/01/2021,1.02,48,34,82,2,44,3
06/01/2021,0.68,26,29,55,2,38,2
07/01/2021,0.46,12,27,39,3,28,2
07/01/2021,0.23,1,20,21,8,21,1
07/01/2021,0.2,1,17,18,9,21,1
07/01/2021,0.13,0,13,13,13,17,1
07/01/2021,0.07,0,9,9,22,10,1
07/01/2021,0.06,0,11,11,23,33,5
07/01/2021,0.11,2,14,16,23,29,9
07/01/2021,0.82,54,36,90,3,41,7
07/01/2021,1,81,33,115,6,77,9
07/01/2021,0.39,11,23,34,24,45,11
07/01/2021,0.34,9,21,30,32,33,12
07/01/2021,0.35,8,22,30,38,22,9
07/01/2021,0.45,11,30,41,41,43,10
07/01/2021,0.58,11,44,54,47,59,13
07/01/2021,0.57,5,38,43,61,61,7
07/01/2021,0.62,5,37,42,72,69,6
