FECHA,CO,NO,NO2,NOX,O3,SO2,PM10
01/01/2010,1.8,21,44,66,5,8,81
01/01/2010,1.4,6,39,45,9,7,87
01/01/2010,1.2,4,32,35,17,7,72
01/01/2010,0.8,0,22,20,25,10,67
01/01/2010,0.6,0,19,17,24,20,37
01/01/2010,0.7,0,17,15,22,12,63
01/01/2010,0.5,0,10,8,25,3,29
01/01/2010,0.5,0,11,10,23,2,16
01/01/2010,0.6,3,16,19,20,3,22
01/01/2010,0.4,0,7,6,34,3,-99
01/01/2010,0.4,2,7,9,40,2,14
01/01/2010,0.5,1,9,11,44,2,20
01/01/2010,0.5,0,10,10,49,2,16
01/01/2010,0.5,2,12,14,56,2,18
01/01/2010,0.6,2,14,17,65,2,22
01/01/2010,0.7,1,15,17,75,3,23
01/01/2010,0.7,1,17,18,79,2,28
01/01/2010,0.8,2,23,24,51,3,55
01/01/2010,0.7,2,24,25,27,19,46
01/01/2010,0.6,0,26,25,22,34,43
01/01/2010,0.6,0,23,23,20,30,32
01/01/2010,0.8,7,24,30,13,10,27
01/01/2010,1.1,20,30,50,4,7,33
01/01/2010,0.7,4,22,26,12,6,23
02/01/2010,0.8,11,23,35,8,4,20
02/01/2010,0.9,10,28,37,2,4,22
02/01/2010,0.8,2,25,27,3,5,20
02/01/2010,0.8,5,27,31,1,5,23
02/01/2010,0.8,5,27,32,1,6,30
02/01/2010,1.0,11,25,36,1,5,29
02/01/2010,1.4,30,25,55,1,4,34
02/01/2010,2.3,97,27,123,1,8,46
02/01/2010,2.1,94,33,128,2,18,51
02/01/2010,1.7,57,44,101,6,23,54
02/01/2010,2.0,58,60,118,10,20,59
02/01/2010,2.1,40,78,118,20,17,70
02/01/2010,1.8,32,60,92,32,13,54
02/01/2010,1.0,10,33,42,54,6,15
02/01/2010,0.9,5,26,32,59,4,19
02/01/2010,1.1,5,36,41,60,4,26
02/01/2010,1.1,7,37,44,50,4,27
02/01/2010,1.4,16,47,62,35,4,42
02/01/2010,0.7,2,22,23,30,3,56
02/01/2010,0.9,3,26,29,23,4,59
02/01/2010,0.8,3,23,26,18,3,4
02/01/2010,0.6,0,14,13,31,2,16
02/01/2010,0.6,0,13,13,30,2,10
02/01/2010,0.6,0,16,16,23,5,5
03/01/2010,0.5,0,27,27,18,44,-99
03/01/2010,0.7,2,24,26,16,16,16
03/01/2010,0.8,6,30,36,8,10,13
03/01/2010,0.8,7,27,34,9,9,13
03/01/2010,0.7,1,31,31,6,10,24
03/01/2010,0.8,1,29,30,7,8,22
03/01/2010,0.7,1,24,25,7,9,21
03/01/2010,0.7,2,24,25,8,11,21
03/01/2010,0.8,7,23,30,10,14,25
03/01/2010,0.7,11,20,30,16,12,26
03/01/2010,1.0,16,25,40,19,12,31
03/01/2010,0.9,12,24,36,28,14,27
03/01/2010,0.9,10,27,37,29,14,34
03/01/2010,0.9,9,31,39,21,13,47
03/01/2010,0.7,8,18,25,19,6,18
03/01/2010,0.9,13,22,35,12,4,28
03/01/2010,1.0,14,25,39,11,3,8
03/01/2010,1.1,20,31,51,6,4,27
03/01/2010,0.9,11,34,45,5,11,16
03/01/2010,0.8,5,27,32,10,16,6
03/01/2010,0.8,4,28,31,9,18,24
03/01/2010,0.9,10,27,37,7,4,7
03/01/2010,1.2,37,28,65,2,3,7
03/01/2010,1.1,28,27,55,2,3,6
04/01/2010,0.8,8,23,31,5,3,-99
04/01/2010,0.5,0,12,11,18,3,-99
04/01/2010,0.5,0,11,11,16,2,-99
04/01/2010,0.5,0,10,9,18,2,-99
04/01/2010,0.5,1,13,13,12,2,5
04/01/2010,0.5,1,15,16,11,3,4
04/01/2010,0.8,15,23,38,6,7,18
04/01/2010,0.8,12,25,37,4,10,21
04/01/2010,1.1,29,24,53,7,11,28
04/01/2010,1.0,25,22,47,12,8,27
04/01/2010,0.8,15,18,33,19,5,10
04/01/2010,0.7,9,15,24,29,3,4
04/01/2010,0.6,8,13,22,37,2,4
04/01/2010,0.8,11,17,28,40,2,13
04/01/2010,0.8,9,20,29,41,2,15
04/01/2010,0.7,8,20,28,40,2,25
04/01/2010,0.8,11,24,35,35,2,20
04/01/2010,0.8,5,24,29,33,2,19
04/01/2010,0.9,10,26,36,16,3,52
04/01/2010,0.8,10,23,33,12,2,14
04/01/2010,0.7,4,21,25,14,2,9
04/01/2010,0.7,4,19,23,16,2,7
04/01/2010,0.6,1,16,16,21,2,1
04/01/2010,0.5,0,14,14,21,2,5
05/01/2010,0.5,0,13,13,21,3,8
05/01/2010,0.4,0,10,9,26,2,1
05/01/2010,0.4,0,8,8,27,2,2
05/01/2010,0.4,0,8,8,25,2,2
05/01/2010,0.4,0,9,9,24,2,2
05/01/2010,0.4,0,11,10,24,2,3
05/01/2010,0.6,5,18,23,16,3,5
05/01/2010,1.0,24,27,50,7,3,14
05/01/2010,0.9,15,26,41,10,4,15
05/01/2010,-99,-99,-99,-99,-99,-99,-99
05/01/2010,-99,-99,-99,-99,-99,-99,-99
05/01/2010,1.1,23,29,51,18,3,-99
05/01/2010,1.5,30,40,70,25,4,40
05/01/2010,1.7,24,57,81,44,5,62
05/01/2010,1.5,12,52,64,57,4,55
05/01/2010,1.2,10,43,54,56,3,38
05/01/2010,1.6,16,52,68,43,3,41
05/01/2010,1.7,14,63,77,33,3,45
05/01/2010,1.8,13,73,87,26,4,79
05/01/2010,1.2,4,51,55,19,25,66
05/01/2010,0.9,5,43,49,10,72,50
05/01/2010,0.9,4,41,46,8,45,45
05/01/2010,0.8,1,35,36,10,50,38
05/01/2010,1.0,11,39,50,3,47,36
06/01/2010,1.4,42,37,79,1,26,38
06/01/2010,1.4,42,35,77,1,23,36
06/01/2010,1.5,46,30,76,1,16,41
06/01/2010,1.3,29,29,58,1,12,37
06/01/2010,1.3,20,30,50,1,11,37
06/01/2010,1.4,38,31,69,1,11,38
06/01/2010,1.9,72,28,99,1,10,40
06/01/2010,2.5,114,28,141,1,9,45
06/01/2010,2.4,108,34,142,2,12,53
06/01/2010,2.1,71,50,121,9,12,60
06/01/2010,2.4,62,72,134,18,18,73
06/01/2010,1.7,26,60,86,38,17,65
06/01/2010,1.3,14,50,64,53,13,50
06/01/2010,1.4,14,53,67,54,11,60
06/01/2010,1.1,7,41,48,58,8,45
06/01/2010,1.0,3,30,33,60,7,46
06/01/2010,0.7,1,20,21,52,6,34
06/01/2010,0.7,1,22,22,39,4,26
06/01/2010,0.7,2,23,25,25,4,27
06/01/2010,1.1,14,47,61,11,41,64
06/01/2010,1.1,8,46,53,8,33,49
06/01/2010,1.5,34,47,80,2,23,43
06/01/2010,2.5,100,43,143,1,18,56
06/01/2010,2.0,64,39,103,1,15,57
07/01/2010,1.3,31,35,66,1,13,45
07/01/2010,0.9,12,32,44,2,9,37
07/01/2010,0.7,2,26,28,3,9,29
07/01/2010,0.7,2,23,25,4,8,26
07/01/2010,0.7,3,26,29,3,7,29
07/01/2010,1.1,28,25,52,1,7,34
07/01/2010,1.9,97,27,124,1,7,42
07/01/2010,3.2,203,28,230,1,8,65
07/01/2010,3.6,198,35,233,2,12,89
07/01/2010,2.7,93,60,153,8,10,82
07/01/2010,2.6,66,82,148,13,10,83
07/01/2010,2.2,30,76,107,34,9,70
07/01/2010,2.4,29,100,129,36,8,103
07/01/2010,1.7,15,71,86,45,9,90
07/01/2010,1.4,9,57,66,51,9,78
07/01/2010,1.8,15,67,81,48,8,82
07/01/2010,1.7,11,68,79,35,8,80
07/01/2010,1.1,1,43,44,32,11,68
07/01/2010,1.2,5,37,41,22,11,35
07/01/2010,1.2,8,37,45,15,8,24
07/01/2010,0.8,0,32,32,15,17,17
07/01/2010,0.7,0,27,26,18,21,21
07/01/2010,0.7,0,18,17,25,9,11
07/01/2010,0.6,0,17,15,24,4,13
08/01/2010,0.6,0,15,14,24,4,12
08/01/2010,0.6,0,15,14,23,3,11
08/01/2010,0.6,0,13,12,28,2,5
08/01/2010,0.5,0,10,9,30,2,9
08/01/2010,0.5,0,10,9,29,2,12
08/01/2010,0.8,7,17,24,16,2,13
08/01/2010,1.3,40,35,74,4,2,15
08/01/2010,1.6,60,35,95,2,3,18
08/01/2010,2.3,103,36,139,1,3,28
08/01/2010,2.6,110,38,148,3,5,18
08/01/2010,2.7,97,45,143,3,5,30
08/01/2010,2.3,75,41,115,4,5,12
08/01/2010,1.6,43,33,75,9,4,3
08/01/2010,2.1,57,40,97,5,4,23
08/01/2010,2.0,53,47,100,4,4,36
08/01/2010,1.0,21,20,42,12,3,8
08/01/2010,1.0,24,22,46,10,2,7
08/01/2010,2.3,94,30,123,2,3,18
08/01/2010,2.5,109,32,140,1,4,19
08/01/2010,2.2,74,28,102,0,3,9
08/01/2010,2.4,97,25,122,1,4,15
08/01/2010,2.7,130,25,155,1,4,21
08/01/2010,2.1,87,25,111,0,3,18
08/01/2010,1.1,20,25,44,1,2,5
09/01/2010,0.9,10,22,32,1,2,5
09/01/2010,1.0,17,21,38,1,2,7
09/01/2010,1.2,34,24,59,0,2,8
09/01/2010,1.1,35,27,62,0,3,25
09/01/2010,1.1,34,27,61,0,3,25
09/01/2010,1.2,38,24,62,0,3,28
09/01/2010,1.3,55,23,78,0,3,29
09/01/2010,1.3,41,22,64,0,2,28
09/01/2010,1.3,52,23,76,0,3,36
09/01/2010,1.5,69,25,94,1,3,38
09/01/2010,1.2,41,21,62,4,3,13
09/01/2010,1.1,27,21,48,6,3,7
09/01/2010,1.4,37,32,69,3,3,19
09/01/2010,1.2,25,33,58,7,7,18
09/01/2010,1.3,35,34,69,5,16,30
09/01/2010,1.1,29,31,59,5,32,24
09/01/2010,1.2,34,32,66,4,41,23
09/01/2010,1.4,38,35,73,2,22,35
09/01/2010,1.5,47,31,78,2,9,36
09/01/2010,1.0,11,28,38,5,4,16
09/01/2010,1.0,17,30,47,2,11,24
09/01/2010,0.8,6,25,32,3,12,22
09/01/2010,0.7,1,22,23,10,18,13
09/01/2010,0.5,0,19,18,16,18,17
10/01/2010,0.5,0,12,11,23,9,8
10/01/2010,0.5,1,14,15,20,6,8
10/01/2010,0.6,0,17,17,17,5,11
10/01/2010,0.5,0,13,12,20,4,10
10/01/2010,0.6,0,17,16,14,3,10
10/01/2010,0.6,0,16,16,14,3,10
10/01/2010,0.7,4,16,20,12,3,12
10/01/2010,0.9,16,27,42,4,5,29
10/01/2010,1.0,40,31,70,3,14,68
10/01/2010,1.0,37,27,64,7,14,58
10/01/2010,1.0,28,26,54,12,12,39
10/01/2010,1.0,21,25,46,22,10,38
10/01/2010,1.0,16,27,43,35,5,21
10/01/2010,1.0,9,30,39,50,6,28
10/01/2010,1.2,11,40,51,48,9,66
10/01/2010,1.2,11,41,52,48,10,75
10/01/2010,1.0,6,30,36,41,13,56
10/01/2010,0.8,6,30,35,24,29,46
10/01/2010,0.8,2,33,35,15,24,46
10/01/2010,0.7,1,29,30,16,28,43
10/01/2010,0.7,2,24,26,15,24,31
10/01/2010,0.7,3,27,30,9,24,26
10/01/2010,0.7,2,30,32,6,37,25
10/01/2010,0.6,0,26,26,9,36,20
11/01/2010,0.5,0,27,28,7,43,22
11/01/2010,0.5,0,27,26,8,54,24
11/01/2010,0.5,0,27,27,7,48,26
11/01/2010,0.5,0,27,27,6,44,26
11/01/2010,0.5,1,23,24,9,27,29
11/01/2010,0.7,13,29,42,3,21,30
11/01/2010,0.8,27,31,58,1,21,38
11/01/2010,1.5,61,33,93,1,17,53
11/01/2010,2.3,102,36,138,2,12,62
11/01/2010,2.2,98,41,139,4,10,75
11/01/2010,2.4,86,50,135,8,8,87
11/01/2010,2.3,66,64,130,15,7,88
11/01/2010,2.0,47,69,116,27,6,80
11/01/2010,1.5,25,60,85,29,5,64
11/01/2010,1.3,14,49,62,38,5,67
11/01/2010,0.9,8,30,38,44,3,31
11/01/2010,0.9,5,28,33,44,3,37
11/01/2010,1.0,10,39,49,32,3,40
11/01/2010,1.6,26,51,77,15,4,46
11/01/2010,2.6,98,63,161,3,5,81
11/01/2010,2.9,127,56,183,3,5,83
11/01/2010,3.3,134,54,188,2,5,82
11/01/2010,2.7,89,53,142,1,5,83
11/01/2010,2.4,67,50,117,1,4,75
12/01/2010,2.1,42,48,90,1,4,66
12/01/2010,1.4,16,43,59,2,29,46
12/01/2010,1.2,6,36,42,3,24,44
12/01/2010,1.2,3,34,37,5,18,42
12/01/2010,1.3,6,33,40,3,10,37
12/01/2010,1.5,36,31,67,1,7,42
12/01/2010,2.3,106,32,138,1,7,55
12/01/2010,4.3,261,34,295,2,10,93
12/01/2010,3.8,190,36,227,2,13,94
12/01/2010,3.0,126,50,177,4,20,80
12/01/2010,3.0,110,72,182,9,24,96
12/01/2010,2.4,58,78,135,18,16,71
12/01/2010,2.3,41,80,121,27,13,68
12/01/2010,1.8,22,65,87,43,9,58
12/01/2010,1.6,16,61,78,49,9,61
12/01/2010,1.8,14,81,94,39,11,90
12/01/2010,1.3,12,51,62,36,7,47
12/01/2010,1.3,13,54,66,24,15,73
12/01/2010,0.7,2,36,38,18,74,49
12/01/2010,0.9,0,37,37,18,45,32
12/01/2010,0.9,5,34,39,16,32,32
12/01/2010,0.9,10,32,42,12,35,29
12/01/2010,0.7,3,24,27,15,34,15
12/01/2010,0.6,0,24,24,12,25,17
13/01/2010,0.7,1,21,22,11,14,10
13/01/2010,0.9,15,30,45,1,25,13
13/01/2010,0.8,12,28,41,0,18,17
13/01/2010,0.8,10,30,39,0,23,21
13/01/2010,0.9,17,31,48,1,29,28
13/01/2010,1.0,15,33,48,1,29,28
13/01/2010,1.1,28,33,60,1,13,12
13/01/2010,1.5,53,35,88,1,10,28
13/01/2010,1.8,71,34,105,2,11,41
13/01/2010,1.5,48,34,83,7,16,46
13/01/2010,1.4,40,37,77,14,19,48
13/01/2010,1.6,34,46,80,26,16,58
13/01/2010,1.5,22,52,74,42,12,55
13/01/2010,2.1,20,74,93,45,11,70
13/01/2010,2.4,18,85,102,40,9,80
13/01/2010,2.2,24,85,109,37,8,70
13/01/2010,1.8,16,66,82,39,6,52
13/01/2010,1.1,10,46,56,24,24,64
13/01/2010,2.4,82,72,154,3,39,83
13/01/2010,2.1,64,66,130,1,36,77
13/01/2010,2.5,89,64,153,1,38,80
13/01/2010,3.2,144,59,203,2,60,91
13/01/2010,2.3,99,54,154,2,71,83
13/01/2010,2.3,93,54,146,1,58,83
14/01/2010,2.3,92,41,134,1,24,60
14/01/2010,1.7,46,36,81,1,12,32
14/01/2010,1.5,34,33,67,1,9,42
14/01/2010,1.3,25,33,58,1,9,40
14/01/2010,1.3,27,33,59,1,8,39
14/01/2010,1.6,61,31,91,1,7,35
14/01/2010,2.8,141,34,173,1,8,40
14/01/2010,4.5,264,34,298,1,10,74
14/01/2010,4.1,198,44,242,3,13,63
14/01/2010,1.2,31,24,55,18,5,13
14/01/2010,0.6,7,10,17,30,2,4
14/01/2010,0.6,7,11,18,33,2,7
14/01/2010,0.6,6,12,18,36,2,13
14/01/2010,0.6,7,11,17,38,2,21
14/01/2010,0.6,6,10,16,36,2,19
14/01/2010,0.6,6,10,16,35,2,40
14/01/2010,0.6,6,11,17,32,2,28
14/01/2010,0.6,6,14,20,26,3,-99
14/01/2010,-99,-99,-99,-99,-99,-99,-99
14/01/2010,0.6,5,16,21,21,3,10
14/01/2010,0.8,10,19,29,18,3,21
14/01/2010,0.7,6,19,25,18,3,14
14/01/2010,0.8,10,19,29,17,3,13
14/01/2010,0.7,7,18,25,16,3,1
15/01/2010,0.4,0,7,7,29,3,-99
15/01/2010,0.4,0,7,8,28,2,-99
15/01/2010,0.4,0,6,6,28,2,-99
15/01/2010,0.4,0,7,7,27,2,-99
15/01/2010,0.4,0,8,9,27,2,-99
15/01/2010,0.5,4,13,17,24,2,3
15/01/2010,0.7,7,18,25,18,2,5
15/01/2010,0.9,13,23,36,13,3,13
15/01/2010,0.7,12,16,28,21,2,17
15/01/2010,0.6,7,11,17,26,2,13
15/01/2010,0.6,8,12,20,26,2,13
15/01/2010,0.5,6,10,16,28,2,17
15/01/2010,0.6,8,12,20,27,2,8
15/01/2010,0.6,10,11,21,29,2,15
15/01/2010,0.6,7,10,17,31,2,29
15/01/2010,0.6,8,11,19,30,2,25
15/01/2010,0.6,8,13,21,29,2,33
15/01/2010,0.7,9,17,26,23,2,31
15/01/2010,0.7,10,20,30,20,2,15
15/01/2010,0.7,7,19,27,21,2,14
15/01/2010,0.7,9,20,30,20,2,12
15/01/2010,0.6,7,17,24,23,2,12
15/01/2010,0.6,6,16,22,24,2,8
15/01/2010,0.5,2,12,14,27,2,4
16/01/2010,0.6,5,15,20,24,2,6
16/01/2010,0.4,1,9,10,29,2,4
16/01/2010,0.4,2,8,10,30,2,-99
16/01/2010,0.4,0,6,7,31,2,16
16/01/2010,0.5,1,9,11,25,2,7
16/01/2010,0.7,10,21,31,12,2,5
16/01/2010,0.8,24,34,58,3,5,14
16/01/2010,1.1,46,37,83,1,5,29
16/01/2010,1.8,83,38,121,3,12,37
16/01/2010,2.2,87,41,127,7,27,43
16/01/2010,1.6,49,38,87,15,37,42
16/01/2010,1.5,32,40,72,28,27,36
16/01/2010,1.4,21,40,61,39,14,28
16/01/2010,1.5,21,42,64,42,10,30
16/01/2010,0.9,9,18,26,41,4,12
16/01/2010,0.5,5,8,13,34,2,6
16/01/2010,0.5,3,8,10,34,2,6
16/01/2010,0.6,5,11,16,28,2,19
16/01/2010,0.9,14,19,33,19,3,8
16/01/2010,0.9,13,22,36,14,3,10
16/01/2010,0.8,9,21,31,14,3,17
16/01/2010,0.9,13,19,32,14,3,11
16/01/2010,1.0,21,27,48,7,3,9
16/01/2010,1.2,26,27,53,4,3,15
17/01/2010,1.0,16,24,40,4,3,13
17/01/2010,1.0,17,24,41,4,3,9
17/01/2010,1.4,42,26,69,1,3,14
17/01/2010,1.8,50,24,74,1,3,21
17/01/2010,1.4,31,23,55,1,3,13
17/01/2010,1.1,19,23,42,3,3,10
17/01/2010,1.6,51,24,75,1,3,16
17/01/2010,2.2,97,24,121,1,4,22
17/01/2010,3.0,159,34,192,3,7,29
17/01/2010,1.9,71,42,112,10,6,38
17/01/2010,1.1,21,27,47,27,3,1
17/01/2010,0.6,5,10,15,33,1,-99
17/01/2010,0.5,4,7,11,37,2,5
17/01/2010,0.5,3,8,12,44,2,6
17/01/2010,0.6,4,10,15,44,2,20
17/01/2010,0.6,4,10,15,39,2,17
17/01/2010,0.6,5,10,16,33,2,16
17/01/2010,0.6,7,11,18,28,2,16
17/01/2010,0.6,5,13,17,22,2,25
17/01/2010,0.7,7,16,23,15,2,13
17/01/2010,0.7,10,15,25,14,2,9
17/01/2010,0.7,8,16,24,14,2,5
17/01/2010,0.7,9,16,25,14,2,7
17/01/2010,0.7,6,17,23,13,2,2
18/01/2010,0.6,2,17,20,13,2,9
18/01/2010,0.5,1,14,15,15,2,7
18/01/2010,0.5,1,12,12,17,2,-99
18/01/2010,0.6,1,18,19,11,2,-99
18/01/2010,0.4,0,6,6,24,2,-99
18/01/2010,0.7,7,16,23,13,2,6
18/01/2010,1.3,34,25,58,7,2,9
18/01/2010,1.2,33,24,57,7,2,12
18/01/2010,2.2,61,31,92,6,3,33
18/01/2010,1.4,41,22,63,17,3,15
18/01/2010,1.3,28,34,62,25,3,24
18/01/2010,1.1,19,26,45,33,3,-99
18/01/2010,0.7,8,13,21,40,2,-99
18/01/2010,0.8,12,18,30,46,3,19
18/01/2010,0.9,8,19,27,55,3,13
18/01/2010,0.7,6,18,24,60,2,20
18/01/2010,0.6,2,17,19,71,3,22
18/01/2010,0.8,7,23,30,45,2,55
18/01/2010,1.4,34,42,75,13,3,33
18/01/2010,1.5,37,34,71,10,3,40
18/01/2010,1.7,41,43,84,4,3,45
18/01/2010,2.6,98,49,147,1,5,66
18/01/2010,2.5,94,45,138,1,4,56
18/01/2010,2.2,72,42,114,1,4,40
19/01/2010,1.5,28,38,66,0,3,28
19/01/2010,1.1,13,32,46,4,3,15
19/01/2010,0.9,0,29,29,6,3,17
19/01/2010,1.1,3,34,37,2,3,22
19/01/2010,1.2,13,33,46,1,3,23
19/01/2010,1.5,38,33,71,1,3,29
19/01/2010,2.6,128,31,158,1,4,41
19/01/2010,4.6,259,33,291,2,6,86
19/01/2010,4.1,189,43,233,3,8,81
19/01/2010,3.3,127,75,203,9,8,75
19/01/2010,3.7,95,113,208,20,10,90
19/01/2010,2.4,31,74,105,48,5,36
19/01/2010,2.3,16,72,88,73,5,50
19/01/2010,1.9,12,62,73,86,4,38
19/01/2010,1.1,6,32,38,77,3,10
19/01/2010,0.6,2,13,15,62,3,19
19/01/2010,0.7,3,16,19,62,3,31
19/01/2010,0.8,10,20,30,36,3,25
19/01/2010,1.0,15,28,43,18,3,37
19/01/2010,1.0,15,25,39,16,3,28
19/01/2010,0.9,11,24,35,17,3,36
19/01/2010,1.1,19,29,47,11,3,20
19/01/2010,0.8,8,20,28,17,3,17
19/01/2010,1.4,34,32,66,2,3,21
20/01/2010,1.1,14,30,44,2,2,14
20/01/2010,0.9,6,27,33,3,2,15
20/01/2010,0.6,2,18,20,10,2,-99
20/01/2010,0.7,1,19,20,8,2,1
20/01/2010,0.7,3,19,22,7,2,2
20/01/2010,1.1,36,25,61,2,3,7
20/01/2010,1.7,83,28,111,2,3,-99
20/01/2010,4.2,243,32,274,2,7,-99
20/01/2010,4.7,247,43,288,3,7,-99
20/01/2010,3.4,143,63,206,8,7,61
20/01/2010,3.0,93,83,176,18,10,56
20/01/2010,2.6,52,87,139,33,5,55
20/01/2010,1.3,15,31,46,43,3,-99
20/01/2010,0.8,3,13,16,53,3,30
20/01/2010,0.9,5,20,25,64,4,36
20/01/2010,0.7,6,15,20,48,2,18
20/01/2010,0.8,5,12,17,40,2,17
20/01/2010,0.9,9,17,26,33,2,14
20/01/2010,0.9,8,20,28,26,2,21
20/01/2010,1.1,23,28,52,13,2,34
20/01/2010,1.7,53,35,87,5,3,41
20/01/2010,1.8,65,34,99,5,4,40
20/01/2010,1.2,30,35,65,4,3,26
20/01/2010,-99,-99,-99,-99,-99,-99,-99
21/01/2010,0.7,7,19,27,19,2,-99
21/01/2010,0.6,0,14,14,22,2,8
21/01/2010,0.6,0,13,13,22,2,-99
21/01/2010,0.6,1,14,15,17,2,5
21/01/2010,0.7,2,15,17,16,2,6
21/01/2010,0.9,15,22,37,9,2,-99
21/01/2010,2.4,134,35,168,2,5,-99
21/01/2010,5.4,357,39,395,3,11,92
21/01/2010,5.8,323,52,374,4,11,87
21/01/2010,4.2,174,71,246,8,9,64
21/01/2010,3.0,85,70,154,17,6,48
21/01/2010,2.3,45,59,104,30,4,22
21/01/2010,1.4,17,31,48,40,3,17
21/01/2010,0.9,6,13,19,46,2,26
21/01/2010,0.8,4,11,14,49,2,21
21/01/2010,0.9,4,14,18,57,3,25
21/01/2010,0.8,4,10,13,44,2,23
21/01/2010,0.8,2,10,12,38,2,16
21/01/2010,0.8,2,10,11,34,2,11
21/01/2010,1.6,39,35,73,10,3,28
21/01/2010,2.3,78,41,119,3,4,33
21/01/2010,2.9,138,40,178,2,5,59
21/01/2010,2.7,120,38,157,2,5,47
21/01/2010,2.0,71,35,105,2,4,29
22/01/2010,1.3,17,31,48,3,2,18
22/01/2010,1.0,5,28,32,8,2,12
22/01/2010,1.1,9,34,43,3,2,17
22/01/2010,1.0,3,27,31,7,2,11
22/01/2010,0.9,3,25,27,7,2,14
22/01/2010,1.2,17,30,47,3,2,16
22/01/2010,2.1,115,36,150,2,4,33
22/01/2010,4.4,258,38,296,2,7,102
22/01/2010,4.1,190,40,230,4,6,97
22/01/2010,3.6,130,63,193,10,8,71
22/01/2010,4.2,137,135,272,18,9,128
22/01/2010,4.2,63,171,234,47,8,129
22/01/2010,-99,-99,-99,-99,-99,-99,-99
22/01/2010,-99,-99,-99,-99,-99,-99,-99
22/01/2010,-99,-99,-99,-99,-99,-99,54
22/01/2010,2.1,10,79,89,99,5,61
22/01/2010,1.7,5,63,68,104,4,60
22/01/2010,2.5,17,100,117,78,5,64
22/01/2010,3.7,79,129,206,38,6,88
22/01/2010,4.2,81,135,216,7,6,114
22/01/2010,4.1,160,100,260,2,7,87
22/01/2010,3.8,173,65,239,2,7,68
22/01/2010,3.2,146,63,209,2,6,53
22/01/2010,2.3,81,59,140,1,7,46
23/01/2010,2.3,75,53,128,1,8,47
23/01/2010,1.4,23,46,69,4,8,35
23/01/2010,1.2,9,41,50,5,6,42
23/01/2010,1.0,4,36,40,8,5,29
23/01/2010,0.9,3,35,38,10,3,-99
23/01/2010,1.0,14,36,50,8,3,-99
23/01/2010,1.6,38,42,80,2,3,29
23/01/2010,2.3,85,43,127,3,4,39
23/01/2010,3.2,165,51,216,4,7,72
23/01/2010,3.2,127,85,212,11,8,105
23/01/2010,4.0,103,135,238,21,10,133
23/01/2010,3.2,50,127,176,44,7,121
23/01/2010,2.2,16,81,97,73,6,101
23/01/2010,1.1,5,24,29,60,3,32
23/01/2010,0.9,3,13,16,54,2,-99
23/01/2010,0.9,3,15,19,62,3,27
23/01/2010,1.0,4,22,27,70,3,39
23/01/2010,1.2,13,27,40,40,3,30
23/01/2010,1.4,19,38,57,25,3,38
23/01/2010,1.3,14,34,49,25,3,32
23/01/2010,1.3,19,29,47,19,3,20
23/01/2010,1.3,12,31,42,18,3,20
23/01/2010,1.4,16,32,49,15,3,14
23/01/2010,1.7,34,44,78,3,3,22
24/01/2010,2.0,40,42,82,2,3,24
24/01/2010,1.6,19,39,58,4,2,17
24/01/2010,1.4,14,35,49,6,2,20
24/01/2010,1.4,14,36,49,6,2,-99
24/01/2010,1.4,10,33,43,4,2,-99
24/01/2010,1.5,19,36,55,4,2,-99
24/01/2010,1.7,28,35,63,2,3,21
24/01/2010,2.2,73,35,108,2,4,39
24/01/2010,2.6,80,40,121,6,4,48
24/01/2010,2.9,81,73,155,17,8,60
24/01/2010,3.1,50,104,153,38,7,79
24/01/2010,3.0,27,107,134,64,5,73
24/01/2010,2.9,17,104,121,91,6,81
24/01/2010,2.5,9,84,93,117,6,64
24/01/2010,1.9,4,52,56,122,4,38
24/01/2010,1.4,2,33,35,109,3,17
24/01/2010,1.4,3,32,35,92,3,13
24/01/2010,1.5,10,40,50,43,4,36
24/01/2010,1.1,16,24,40,23,3,15
24/01/2010,1.9,51,42,92,11,4,29
24/01/2010,3.1,115,53,168,2,6,46
24/01/2010,3.2,113,65,178,1,6,61
24/01/2010,3.4,140,55,195,1,6,68
24/01/2010,2.0,42,49,91,1,4,45
25/01/2010,2.0,41,53,94,1,4,46
25/01/2010,1.6,15,50,65,1,3,39
25/01/2010,1.4,9,46,55,2,3,34
25/01/2010,1.3,3,42,44,4,2,36
25/01/2010,1.3,8,40,49,3,3,32
25/01/2010,1.4,32,37,69,2,3,38
25/01/2010,2.5,115,38,152,1,5,62
25/01/2010,4.5,253,38,291,2,7,106
25/01/2010,4.2,212,47,260,3,8,115
25/01/2010,3.9,150,77,227,8,16,104
25/01/2010,3.3,85,105,190,23,38,96
25/01/2010,2.4,34,79,113,44,33,66
25/01/2010,2.1,17,71,89,63,20,62
25/01/2010,1.8,10,53,63,79,15,49
25/01/2010,1.8,7,56,62,105,12,58
25/01/2010,1.7,3,51,55,120,12,65
25/01/2010,1.4,7,46,53,94,9,56
25/01/2010,1.2,11,41,51,48,6,46
25/01/2010,1.5,28,48,75,28,6,108
25/01/2010,2.0,53,59,111,16,6,67
25/01/2010,1.2,13,43,55,24,52,59
25/01/2010,1.1,15,46,62,10,108,59
25/01/2010,1.5,30,46,76,8,53,53
25/01/2010,1.4,15,47,62,11,18,39
26/01/2010,0.9,3,34,36,20,8,34
26/01/2010,0.8,0,28,27,24,5,30
26/01/2010,0.7,0,19,18,27,5,25
26/01/2010,0.7,2,20,21,22,4,26
